"","mu","sigma","phase","year"
"1",8602.61619985548,0,"Observed",1972
"2",8735.79742502132,0,"Observed",1973
"3",8985.38507505187,0,"Observed",1974
"4",9121.66816796467,0,"Observed",1975
"5",9018.29446643487,0,"Observed",1976
"6",9135.72101385351,0,"Observed",1977
"7",9324.39092744458,0,"Observed",1978
"8",9156.99356205768,0,"Observed",1979
"9",8770.94596943367,0,"Observed",1980
"10",8099.59104717241,0,"Observed",1981
"11",7301.01632138918,0,"Observed",1982
"12",6964.03069699352,0,"Observed",1983
"13",6912.66118234395,0,"Observed",1984
"14",6732.16054170539,0,"Observed",1985
"15",6486.97641143909,0,"Observed",1986
"16",6467.72215536945,0,"Observed",1987
"17",6303.50752942971,0,"Observed",1988
"18",5902.40548895873,0,"Observed",1989
"19",5495.97449273613,0,"Observed",1990
"20",4947.54162954729,0,"Observed",1991
"21",4232.75166278571,0,"Observed",1992
"22",3509.58582728762,0,"Observed",1993
"23",2959.52165024807,0,"Observed",1994
"24",2615.83551967889,0,"Observed",1995
"25",2343.31538783014,0,"Observed",1996
"26",2147.18740586447,0,"Observed",1997
"27",2036.1530715063,0,"Observed",1998
"28",1980.31060076838,0,"Observed",1999
"29",1981.25036553881,0,"Observed",2000
"30",2004.96737153209,0,"Observed",2001
"31",2038.44443094504,0,"Observed",2002
"32",2077.73272620283,0,"Observed",2003
"33",2109.01045325287,0,"Observed",2004
"34",2144.98423041776,0,"Observed",2005
"35",2202.25544386588,0,"Observed",2006
"36",2284.46898829436,0,"Observed",2007
"37",2367.34088622746,0,"Observed",2008
"38",2447.98315842444,0,"Observed",2009
"39",2560.78026031604,0,"Observed",2010
"40",2727.89759508635,0,"Observed",2011
"41",2866.65986663869,0,"Observed",2012
"42",2959.37433653984,0,"Observed",2013
"43",3057.8702544419,0,"Observed",2014
"44",3157.217830426,0,"Observed",2015
"45",3247.24396080872,0,"Observed",2016
"46",3335.4149503829,0,"Observed",2017
"47",3429.1980344953,0,"Observed",2018
"48",3530.99326534178,0,"Observed",2019
"49",3638.18100755339,0,"Observed",2020
"50",3785.68206281231,0,"Simulated",2021
"51",3933.10189132175,41.9321087472873,"Simulated",2022
"52",4082.66426292884,61.0323384889631,"Simulated",2023
"53",4234.56122207077,76.0470633090393,"Simulated",2024
"54",4388.37579415564,89.6208414886315,"Simulated",2025
"55",4544.34420880615,102.404566497226,"Simulated",2026
"56",4701.92175536342,114.725949128781,"Simulated",2027
"57",4861.94237087901,126.134295404419,"Simulated",2028
"58",5022.6126568589,136.90795460215,"Simulated",2029
"59",5184.9713938604,147.531885411021,"Simulated",2030
"60",5347.52084714775,156.679643595839,"Simulated",2031
"61",5510.93080244599,167.169382292617,"Simulated",2032
"62",5674.98268713827,176.305785197308,"Simulated",2033
"63",5838.80884189368,186.714911699294,"Simulated",2034
"64",6002.04884442488,195.433690743821,"Simulated",2035
"65",6166.9722226119,204.397523414902,"Simulated",2036
"66",6328.6522379837,213.398617135621,"Simulated",2037
"67",6489.7818064276,222.327054057788,"Simulated",2038
"68",6650.21164035337,230.23978662074,"Simulated",2039
"69",6809.19630391152,237.397745183517,"Simulated",2040
"70",6966.84912669157,243.670126130542,"Simulated",2041
"71",7121.99413548854,250.619192116603,"Simulated",2042
"72",7275.42759282633,258.028384727071,"Simulated",2043
"73",7426.10063508486,266.202036116537,"Simulated",2044
"74",7575.04827504045,275.135562033469,"Simulated",2045
