"","mu","sigma","phase","year"
"1",8602.61639380402,0,"Observed",1972
"2",8735.79761309409,0,"Observed",1973
"3",8985.38525182899,0,"Observed",1974
"4",9121.66833423126,0,"Observed",1975
"5",9018.29462905415,0,"Observed",1976
"6",9135.72116042582,0,"Observed",1977
"7",9324.39105900464,0,"Observed",1978
"8",9156.9936998319,0,"Observed",1979
"9",8770.94611836137,0,"Observed",1980
"10",8099.59121978499,0,"Observed",1981
"11",7301.01651458698,0,"Observed",1982
"12",6964.03087214535,0,"Observed",1983
"13",6912.66133269456,0,"Observed",1984
"14",6732.16067774406,0,"Observed",1985
"15",6486.97652142286,0,"Observed",1986
"16",6467.7222221388,0,"Observed",1987
"17",6303.50756578308,0,"Observed",1988
"18",5902.40550847256,0,"Observed",1989
"19",5495.9744937887,0,"Observed",1990
"20",4947.54160976552,0,"Observed",1991
"21",4232.75162025305,0,"Observed",1992
"22",3509.58575365169,0,"Observed",1993
"23",2959.52154016051,0,"Observed",1994
"24",2615.83537213311,0,"Observed",1995
"25",2343.31520754651,0,"Observed",1996
"26",2147.18719578988,0,"Observed",1997
"27",2036.15283439433,0,"Observed",1998
"28",1980.31033910442,0,"Observed",1999
"29",1981.2500748224,0,"Observed",2000
"30",2004.96705144712,0,"Observed",2001
"31",2038.4440818501,0,"Observed",2002
"32",2077.73234621978,0,"Observed",2003
"33",2109.01004504197,0,"Observed",2004
"34",2144.98379636882,0,"Observed",2005
"35",2202.25497996191,0,"Observed",2006
"36",2284.46849183132,0,"Observed",2007
"37",2367.34036200209,0,"Observed",2008
"38",2447.9826072873,0,"Observed",2009
"39",2560.77967071829,0,"Observed",2010
"40",2727.89694805729,0,"Observed",2011
"41",2866.6591689504,0,"Observed",2012
"42",2959.37360116658,0,"Observed",2013
"43",3057.86947983853,0,"Observed",2014
"44",3157.21701589071,0,"Observed",2015
"45",3247.24310910927,0,"Observed",2016
"46",3335.4140628957,0,"Observed",2017
"47",3429.19711100492,0,"Observed",2018
"48",3530.99230613366,0,"Observed",2019
"49",3638.1800125078,0,"Observed",2020
"50",3666.40190785087,0,"Simulated",2021
"51",3667.10030787299,37.9927354739865,"Simulated",2022
"52",3720.39744756946,59.8667890416933,"Simulated",2023
"53",3782.93685515796,87.2475096944818,"Simulated",2024
"54",3850.52973405308,115.736298565311,"Simulated",2025
"55",3920.15882293486,140.166814747055,"Simulated",2026
"56",3987.16465820652,166.415961652365,"Simulated",2027
"57",4058.99790870539,187.461171690363,"Simulated",2028
"58",4130.72521827301,213.303569973033,"Simulated",2029
"59",4198.2891641083,234.949484172503,"Simulated",2030
"60",4256.22768195916,260.59360932975,"Simulated",2031
"61",4319.20488028414,286.326294340401,"Simulated",2032
"62",4369.0973484689,306.171487024187,"Simulated",2033
"63",4422.72573530394,328.660918484829,"Simulated",2034
"64",4466.0503860018,352.768082873653,"Simulated",2035
"65",4510.1740127521,367.467036171482,"Simulated",2036
"66",4543.51988657956,391.504351839354,"Simulated",2037
"67",4572.91729138653,404.733350995226,"Simulated",2038
"68",4606.02713628627,421.352060748427,"Simulated",2039
"69",4642.98956563811,446.775098495421,"Simulated",2040
"70",4675.48353346244,472.366181268251,"Simulated",2041
"71",4703.37089067441,499.926523451045,"Simulated",2042
"72",4727.12703363297,520.290629521714,"Simulated",2043
"73",4746.22937325053,544.222379410209,"Simulated",2044
"74",4765.05300414658,566.865393881139,"Simulated",2045
"75",4786.1728708529,585.587409839086,"Simulated",2046
"76",4794.30300237691,601.30343347468,"Simulated",2047
"77",4811.09220460473,620.755336137565,"Simulated",2048
"78",4815.43459292823,631.575107292098,"Simulated",2049
"79",4826.59018176423,645.08498884419,"Simulated",2050
"80",4829.68668236407,655.836192839406,"Simulated",2051
"81",4829.32705854368,667.050833990811,"Simulated",2052
"82",4839.90717291682,684.189781060036,"Simulated",2053
"83",4838.83194627552,703.108478228431,"Simulated",2054
"84",4840.97250841401,717.163679366547,"Simulated",2055
"85",4837.53505031673,738.070296632377,"Simulated",2056
"86",4837.07552999625,745.807519955158,"Simulated",2057
"87",4834.42998834103,757.812098625119,"Simulated",2058
"88",4826.04842491632,770.354450498684,"Simulated",2059
"89",4827.14842866262,768.056622941724,"Simulated",2060
"90",4817.62364297381,782.617504853331,"Simulated",2061
"91",4819.13760594437,798.52376917509,"Simulated",2062
"92",4809.35333457867,809.179073804944,"Simulated",2063
"93",4803.57905426747,819.746379071877,"Simulated",2064
"94",4802.099847745,828.077231859728,"Simulated",2065
"95",4797.03487219831,836.738859706126,"Simulated",2066
"96",4795.94947077766,841.490367619246,"Simulated",2067
"97",4788.2910714724,837.531810411904,"Simulated",2068
"98",4777.86498707211,843.753909602918,"Simulated",2069
"99",4765.59603192678,850.151811044729,"Simulated",2070
"100",4755.88207057696,854.204918560349,"Simulated",2071
"101",4739.72256741433,862.809122754388,"Simulated",2072
"102",4721.4631641802,864.877143993372,"Simulated",2073
"103",4712.52835189315,876.416071507832,"Simulated",2074
"104",4704.91470822627,880.49500638715,"Simulated",2075
"105",4694.7260179368,882.418451139616,"Simulated",2076
"106",4683.06444303648,878.792971004571,"Simulated",2077
"107",4671.04150093499,883.754144018798,"Simulated",2078
"108",4660.33304480609,886.205908160502,"Simulated",2079
"109",4640.38893527647,890.398546593649,"Simulated",2080
"110",4634.62223800237,891.333694676184,"Simulated",2081
"111",4625.03127007791,891.147174489497,"Simulated",2082
"112",4616.09004749745,893.272112445077,"Simulated",2083
"113",4603.94861189191,904.522318881326,"Simulated",2084
"114",4594.9324733607,908.816986264012,"Simulated",2085
"115",4584.22451718149,914.417544424882,"Simulated",2086
"116",4571.46454905357,913.605621857426,"Simulated",2087
"117",4557.24285532575,911.297104701055,"Simulated",2088
"118",4549.32491749494,914.905727503087,"Simulated",2089
"119",4542.19395624975,921.996963866039,"Simulated",2090
"120",4526.47035284306,925.799399763196,"Simulated",2091
"121",4518.09490264132,923.865253772364,"Simulated",2092
"122",4501.32580089213,925.435335971495,"Simulated",2093
"123",4491.63757438083,923.460668731522,"Simulated",2094
"124",4476.23637835174,928.47700396328,"Simulated",2095
