"","mu","sigma","phase","year"
"1",8602.61639380401,0,"Observed",1972
"2",8735.79761309409,0,"Observed",1973
"3",8985.38525182899,0,"Observed",1974
"4",9121.66833423126,0,"Observed",1975
"5",9018.29462905415,0,"Observed",1976
"6",9135.72116042582,0,"Observed",1977
"7",9324.39105900464,0,"Observed",1978
"8",9156.9936998319,0,"Observed",1979
"9",8770.94611836137,0,"Observed",1980
"10",8099.59121978499,0,"Observed",1981
"11",7301.01651458698,0,"Observed",1982
"12",6964.03087214535,0,"Observed",1983
"13",6912.66133269456,0,"Observed",1984
"14",6732.16067774406,0,"Observed",1985
"15",6486.97652142286,0,"Observed",1986
"16",6467.7222221388,0,"Observed",1987
"17",6303.50756578308,0,"Observed",1988
"18",5902.40550847256,0,"Observed",1989
"19",5495.9744937887,0,"Observed",1990
"20",4947.54160976552,0,"Observed",1991
"21",4232.75162025305,0,"Observed",1992
"22",3509.58575365169,0,"Observed",1993
"23",2959.52154016051,0,"Observed",1994
"24",2615.83537213311,0,"Observed",1995
"25",2343.31520754651,0,"Observed",1996
"26",2147.18719578988,0,"Observed",1997
"27",2036.15283439433,0,"Observed",1998
"28",1980.31033910442,0,"Observed",1999
"29",1981.2500748224,0,"Observed",2000
"30",2004.96705144712,0,"Observed",2001
"31",2038.4440818501,0,"Observed",2002
"32",2077.73234621978,0,"Observed",2003
"33",2109.01004504197,0,"Observed",2004
"34",2144.98379636882,0,"Observed",2005
"35",2202.25497996191,0,"Observed",2006
"36",2284.46849183132,0,"Observed",2007
"37",2367.34036200209,0,"Observed",2008
"38",2447.9826072873,0,"Observed",2009
"39",2560.77967071829,0,"Observed",2010
"40",2727.89694805729,0,"Observed",2011
"41",2866.6591689504,0,"Observed",2012
"42",2959.37360116658,0,"Observed",2013
"43",3057.86947983853,0,"Observed",2014
"44",3157.21701589071,0,"Observed",2015
"45",3247.24310910927,0,"Observed",2016
"46",3335.4140628957,0,"Observed",2017
"47",3429.19711100492,0,"Observed",2018
"48",3530.99230613366,0,"Observed",2019
"49",3638.1800125078,0,"Observed",2020
"50",3694.17628465794,0,"Simulated",2021
"51",3830.45639549664,38.6002525361418,"Simulated",2022
"52",3966.25013670367,53.6051276634759,"Simulated",2023
"53",4100.6716799358,70.2192949973097,"Simulated",2024
"54",4238.26774848252,81.6183068645821,"Simulated",2025
"55",4384.25628550058,92.53471942273,"Simulated",2026
"56",4526.92175231557,101.439525524295,"Simulated",2027
"57",4669.67613824282,109.760407351732,"Simulated",2028
"58",4813.38645909988,119.705512252838,"Simulated",2029
"59",4966.43417785205,129.591401221436,"Simulated",2030
"60",5116.6928228848,136.350611372386,"Simulated",2031
"61",5265.71847581221,142.023797363757,"Simulated",2032
"62",5424.33025609159,156.884586190992,"Simulated",2033
"63",5570.13471324697,171.142212620884,"Simulated",2034
"64",5706.5678227355,196.290480808203,"Simulated",2035
"65",5815.81681196813,234.866450000974,"Simulated",2036
"66",5899.94041470589,286.081720268154,"Simulated",2037
"67",5921.65270132825,333.553484334224,"Simulated",2038
"68",5910.3198982817,362.564089905229,"Simulated",2039
"69",5901.84764817955,386.704517010172,"Simulated",2040
"70",5870.87608729883,407.153417666793,"Simulated",2041
"71",5832.61270149931,418.806613911102,"Simulated",2042
"72",5792.47682777476,428.722445229925,"Simulated",2043
"73",5750.50993731463,439.819810716619,"Simulated",2044
"74",5724.73644035843,461.002399433182,"Simulated",2045
"75",5684.9709556846,463.079649905392,"Simulated",2046
"76",5649.97747663288,478.50687255958,"Simulated",2047
"77",5605.55656957559,485.591753834451,"Simulated",2048
"78",5571.72269434242,487.883859381803,"Simulated",2049
"79",5543.95843241004,486.48408318891,"Simulated",2050
"80",5521.31152356924,497.420056184698,"Simulated",2051
"81",5498.57767313771,503.433478146285,"Simulated",2052
"82",5479.25589069432,508.872542879311,"Simulated",2053
"83",5453.80623965845,523.143408320998,"Simulated",2054
"84",5436.65629933737,529.939036640253,"Simulated",2055
"85",5412.33693899554,537.818503555521,"Simulated",2056
"86",5397.39018271642,549.558710396704,"Simulated",2057
"87",5382.89840122358,565.139399079949,"Simulated",2058
"88",5360.31237368224,574.754841004933,"Simulated",2059
"89",5348.83005792516,588.431709622562,"Simulated",2060
"90",5325.04312322558,597.979365844403,"Simulated",2061
"91",5304.73392136262,608.734956818143,"Simulated",2062
"92",5289.99887230868,611.070367946077,"Simulated",2063
"93",5271.47588096085,631.192354229242,"Simulated",2064
"94",5262.51532015825,645.148304754804,"Simulated",2065
"95",5254.12243077935,651.053462177113,"Simulated",2066
"96",5244.62985733828,646.067883182658,"Simulated",2067
"97",5230.78543018882,645.915010812504,"Simulated",2068
"98",5215.98862804384,650.831489738744,"Simulated",2069
"99",5201.09300590333,662.887413214475,"Simulated",2070
"100",5197.95105174586,662.256283330162,"Simulated",2071
"101",5189.15042355852,657.783740211194,"Simulated",2072
"102",5186.52632347488,655.7361687408,"Simulated",2073
"103",5182.66393783289,650.213115796393,"Simulated",2074
"104",5179.33552534217,645.511577200206,"Simulated",2075
"105",5177.40256929272,648.756748451247,"Simulated",2076
"106",5171.57203546663,634.699958694772,"Simulated",2077
"107",5176.6095710966,624.541039838869,"Simulated",2078
"108",5181.51668321124,623.167333027362,"Simulated",2079
"109",5181.44534879357,629.351891875226,"Simulated",2080
"110",5181.98367366102,640.99371763252,"Simulated",2081
"111",5174.38201344541,640.698480946832,"Simulated",2082
"112",5161.22713903734,647.044753754374,"Simulated",2083
"113",5154.67734654392,647.390083204528,"Simulated",2084
"114",5147.4915733103,644.49571850278,"Simulated",2085
"115",5147.47570394195,648.898329266942,"Simulated",2086
"116",5144.68619088964,643.246102745265,"Simulated",2087
"117",5141.10795142445,653.051143476648,"Simulated",2088
"118",5137.75479021104,654.482306188307,"Simulated",2089
"119",5136.05478258476,664.925082661554,"Simulated",2090
"120",5133.60304314651,679.393577170747,"Simulated",2091
"121",5128.78495437125,680.053791300159,"Simulated",2092
"122",5124.35722771032,686.031661620438,"Simulated",2093
"123",5126.46727222542,700.621415521843,"Simulated",2094
"124",5120.81583388697,703.697452629111,"Simulated",2095
