"","year","biomass","sd","h"
"1",1972,8602.61639380398,0,"Standard_Two_step"
"2",1973,8735.79761309407,0,"Standard_Two_step"
"3",1974,8985.38525182902,0,"Standard_Two_step"
"4",1975,9121.6683342313,0,"Standard_Two_step"
"5",1976,9018.29462905417,0,"Standard_Two_step"
"6",1977,9135.72116042586,0,"Standard_Two_step"
"7",1978,9324.39105900461,0,"Standard_Two_step"
"8",1979,9156.99369983194,0,"Standard_Two_step"
"9",1980,8770.94611836138,0,"Standard_Two_step"
"10",1981,8099.591219785,0,"Standard_Two_step"
"11",1982,7301.01651458699,0,"Standard_Two_step"
"12",1983,6964.03087214535,0,"Standard_Two_step"
"13",1984,6912.66133269455,0,"Standard_Two_step"
"14",1985,6732.16067774403,0,"Standard_Two_step"
"15",1986,6486.97652142287,0,"Standard_Two_step"
"16",1987,6467.72222213879,0,"Standard_Two_step"
"17",1988,6303.50756578306,0,"Standard_Two_step"
"18",1989,5902.40550847254,0,"Standard_Two_step"
"19",1990,5495.97449378872,0,"Standard_Two_step"
"20",1991,4947.54160976553,0,"Standard_Two_step"
"21",1992,4232.75162025304,0,"Standard_Two_step"
"22",1993,3509.58575365169,0,"Standard_Two_step"
"23",1994,2959.5215401605,0,"Standard_Two_step"
"24",1995,2615.8353721331,0,"Standard_Two_step"
"25",1996,2343.3152075465,0,"Standard_Two_step"
"26",1997,2147.18719578987,0,"Standard_Two_step"
"27",1998,2036.15283439433,0,"Standard_Two_step"
"28",1999,1980.31033910442,0,"Standard_Two_step"
"29",2000,1981.25007482241,0,"Standard_Two_step"
"30",2001,2004.96705144711,0,"Standard_Two_step"
"31",2002,2038.4440818501,0,"Standard_Two_step"
"32",2003,2077.73234621979,0,"Standard_Two_step"
"33",2004,2109.01004504198,0,"Standard_Two_step"
"34",2005,2144.98379636881,0,"Standard_Two_step"
"35",2006,2202.25497996192,0,"Standard_Two_step"
"36",2007,2284.46849183131,0,"Standard_Two_step"
"37",2008,2367.3403620021,0,"Standard_Two_step"
"38",2009,2447.98260728729,0,"Standard_Two_step"
"39",2010,2560.77967071828,0,"Standard_Two_step"
"40",2011,2727.8969480573,0,"Standard_Two_step"
"41",2012,2866.65916895041,0,"Standard_Two_step"
"42",2013,2959.37360116659,0,"Standard_Two_step"
"43",2014,3057.86947983853,0,"Standard_Two_step"
"44",2015,3157.21701589071,0,"Standard_Two_step"
"45",2016,3247.24310910927,0,"Standard_Two_step"
"46",2017,3335.41406289571,0,"Standard_Two_step"
"47",2018,3429.19711100492,0,"Standard_Two_step"
"48",2019,3530.99230613367,0,"Standard_Two_step"
"49",2020,3638.18001250779,0,"Standard_Two_step"
"50",2021,3754.82061177964,0,"Standard_Two_step"
"51",2022,3755.18995701195,45.1163713697629,"Standard_Two_step"
"52",2023,3819.54975326719,82.6961270598248,"Standard_Two_step"
"53",2024,3890.724662153,117.375401213486,"Standard_Two_step"
"54",2025,3960.70920719571,146.77237875485,"Standard_Two_step"
"55",2026,4033.10890822978,174.744340392069,"Standard_Two_step"
"56",2027,4105.19260030976,211.681499607975,"Standard_Two_step"
"57",2028,4177.0391664794,247.937841817114,"Standard_Two_step"
"58",2029,4240.82981828562,284.359881590757,"Standard_Two_step"
"59",2030,4311.38128350663,313.775684897766,"Standard_Two_step"
"60",2031,4385.30251440254,341.257035605804,"Standard_Two_step"
"61",2032,4437.26684403136,375.510362590316,"Standard_Two_step"
"62",2033,4479.07059196486,404.586908793862,"Standard_Two_step"
"63",2034,4524.49076218804,430.373679400228,"Standard_Two_step"
"64",2035,4556.97396373064,448.577528071839,"Standard_Two_step"
"65",2036,4595.77652039294,463.340294707152,"Standard_Two_step"
"66",2037,4636.60515555246,489.725335855146,"Standard_Two_step"
"67",2038,4671.26373915417,506.293952100668,"Standard_Two_step"
"68",2039,4690.69687248583,529.468273506709,"Standard_Two_step"
"69",2040,4721.61686886623,547.757981329307,"Standard_Two_step"
"70",2041,4739.36628549194,568.476391138395,"Standard_Two_step"
"71",2042,4756.37812743532,577.98201899194,"Standard_Two_step"
"72",2043,4774.25628814095,585.874780236135,"Standard_Two_step"
"73",2044,4780.54337751627,607.35204830655,"Standard_Two_step"
"74",2045,4795.17073296525,628.317727739645,"Standard_Two_step"
"75",2046,4799.6999483687,642.673211768792,"Standard_Two_step"
"76",2047,4806.61944591853,645.564556408617,"Standard_Two_step"
"77",2048,4812.56824018291,654.732481226833,"Standard_Two_step"
"78",2049,4812.34509158064,655.435039002721,"Standard_Two_step"
"79",2050,4817.68353517234,660.565619804312,"Standard_Two_step"
"80",2051,4814.00371569094,676.765979678004,"Standard_Two_step"
"81",2052,4816.74099483406,682.819965823524,"Standard_Two_step"
"82",2053,4821.78971303805,698.993248716617,"Standard_Two_step"
